,git_hash,commit_date,cve_data,cwe_group,published_date,severity,impact_score
2586,7098880f1fa9af6f9b85ac137ae4e77d01b3ded6,2016-07-31 06:51:13+00:00,CVE-2016-1000110,CWE-601,2019-11-27T17:15Z,MEDIUM,4.9
2587,cde03fa0381fcb7f7d3ba0dff4e784eade1f3031,2016-07-31 06:51:13+00:00,CVE-2016-1000110,CWE-601,2019-11-27T17:15Z,MEDIUM,4.9
2588,fe119168479b26ad9b1bc8f57ba08f0aafa6f9be,2016-07-31 06:51:13+00:00,CVE-2016-1000110,CWE-601,2019-11-27T17:15Z,MEDIUM,4.9
2589,d7fd3e2803afec591abbb3dc32eeab00fa095207,2016-08-03 13:35:28+00:00,CVE-2016-6524,,,,
2590,177e4b19b3940e4c12d56dd6991e86c2f9b3ae72,2016-08-03 19:42:27+00:00,SQL_INJECTION,,,,
2591,6e51d8143b422f283a8656cafe3d8c45e252e0bf,2016-08-03 19:58:17+00:00,SQL_INJECTION,,,,
2592,5210d8f09c039fa98acdae7635007ee974377118,2016-08-04 04:16:06+00:00,SQL_INJECTION,,,,
2593,fb0d8149bc530e5e19547baea41165d937fb5a4b,2016-08-04 07:35:41+00:00,CVE-2016-6580,CWE-399,2017-01-10T15:59Z,MEDIUM,2.9
2594,f09599a129e28ee94c87c87954f55270d91dd831,2016-08-04 07:41:57+00:00,CVE-2016-6580,CWE-399,2017-01-10T15:59Z,MEDIUM,2.9
2595,fb7194f0a1b40084eb5ff44e774cd35b3990cc24,2016-08-04 07:50:31+00:00,CVE-2016-6581,CWE-399,2017-01-10T15:59Z,HIGH,6.9
2596,3f48483d6cb5cc3000460eb705ef16ac371511f3,2016-08-04 08:02:42+00:00,CVE-2016-6581,CWE-399,2017-01-10T15:59Z,HIGH,6.9
2597,7d01a7dc4db83bce50f20d47caf4f37b403a3ecd,2016-08-04 08:25:54+00:00,CVE-2016-6580,CWE-399,2017-01-10T15:59Z,MEDIUM,2.9
2598,4529c1632a356cc1ab6a7fdddccd2de60a21e366,2016-08-04 08:53:54+00:00,CVE-2016-6581,CWE-399,2017-01-10T15:59Z,HIGH,6.9
2599,62587d936c8374b2f20e77796d2d7ea281ec0d63,2016-08-05 02:51:32+00:00,SQL_INJECTION,,,,
2600,ea5caba32f17cf1d40355561abac1dcf3f13d683,2016-08-05 08:40:25+00:00,CVE-2016-6524,,,,
2601,8d825e4361c2c981f3227b181c6a42811fb2f8f3,2016-08-05 08:40:42+00:00,CVE-2016-6524,,,,
2602,b1b0871a922a49d0a64f248494f1628da8a2de93,2016-08-08 16:48:25+00:00,CVE-2016-1000038,,,,
2603,8ab444e1c80e603758759c1c71417b0a53ede131,2016-08-08 17:29:54+00:00,SQL_INJECTION,,,,
2604,49788ae0488bdcaf14903eaf18213bb6bf20aa94,2016-08-08 20:06:04+00:00,CVE-2016-1000038,,,,
2605,948a1821f97b102662b4f14c072b64eccb12b2c3,2016-08-09 17:26:48+00:00,SQL_INJECTION,,,,
2606,3b1e45ce0c0ceb0ad2db44383b14ec1991b82b07,2016-08-10 10:45:08+00:00,CVE-2015-3152,CWE-284,2016-05-16T10:59Z,MEDIUM,2.9
2607,3853ab613d17983638b6039e0878104f9ee1ba92,2016-08-10 12:18:36+00:00,CVE-2016-1000111,,,,
2608,5df208a1b59168932d64b399fd7aa605f5554135,2016-08-10 12:20:18+00:00,CVE-2016-1000111,,,,
2609,abe899e8d287676d8060c22a2826ba83f2561b66,2016-08-10 12:48:41+00:00,CVE-2016-1000111,,,,
2610,772ec10114f4c35114b1fd5dad4dab1679769ce4,2016-08-10 12:59:01+00:00,CVE-2016-1000111,,,,
2611,69707bb1aa55b3a6cec5e02df01d34d2a93c2519,2016-08-10 13:01:14+00:00,CVE-2016-1000111,,,,
2612,8930cf7b15e916dac037ab4a3ff08e11c3fddbce,2016-08-10 19:04:48+00:00,SQL_INJECTION,,,,
2613,3b64950247b5dae0aed5b3c756d89e275f1e192b,2016-08-12 16:12:46+00:00,CVE-2015-8392,CWE-119,2015-12-02T01:59Z,HIGH,6.4
2614,3b64950247b5dae0aed5b3c756d89e275f1e192b,2016-08-12 16:12:46+00:00,CVE-2015-8393,CWE-200,2015-12-02T01:59Z,MEDIUM,2.9
2615,3b64950247b5dae0aed5b3c756d89e275f1e192b,2016-08-12 16:12:46+00:00,CVE-2015-8385,CWE-119,2015-12-02T01:59Z,HIGH,6.4
2616,3b64950247b5dae0aed5b3c756d89e275f1e192b,2016-08-12 16:12:46+00:00,CVE-2016-5421,CWE-416,2016-08-10T14:59Z,HIGH,6.4
2617,3b64950247b5dae0aed5b3c756d89e275f1e192b,2016-08-12 16:12:46+00:00,CVE-2016-4802,CWE-264,2016-06-24T17:59Z,MEDIUM,10.0
2618,3b64950247b5dae0aed5b3c756d89e275f1e192b,2016-08-12 16:12:46+00:00,CVE-2015-5073,CWE-119,2016-12-13T16:59Z,MEDIUM,4.9
2619,3b64950247b5dae0aed5b3c756d89e275f1e192b,2016-08-12 16:12:46+00:00,CVE-2015-5073,CWE-200,2016-12-13T16:59Z,MEDIUM,4.9
2620,3b64950247b5dae0aed5b3c756d89e275f1e192b,2016-08-12 16:12:46+00:00,CVE-2015-8386,CWE-119,2015-12-02T01:59Z,HIGH,6.4
2621,3b64950247b5dae0aed5b3c756d89e275f1e192b,2016-08-12 16:12:46+00:00,CVE-2015-8388,CWE-119,2015-12-02T01:59Z,HIGH,6.4
2622,3b64950247b5dae0aed5b3c756d89e275f1e192b,2016-08-12 16:12:46+00:00,CVE-2015-8388,CWE-185,2015-12-02T01:59Z,HIGH,6.4
2623,3b64950247b5dae0aed5b3c756d89e275f1e192b,2016-08-12 16:12:46+00:00,CVE-2015-8380,CWE-119,2015-12-02T01:59Z,HIGH,6.4
2624,3b64950247b5dae0aed5b3c756d89e275f1e192b,2016-08-12 16:12:46+00:00,CVE-2015-8389,CWE-119,2015-12-02T01:59Z,HIGH,6.4
2625,3b64950247b5dae0aed5b3c756d89e275f1e192b,2016-08-12 16:12:46+00:00,CVE-2015-8389,CWE-185,2015-12-02T01:59Z,HIGH,6.4
2626,3b64950247b5dae0aed5b3c756d89e275f1e192b,2016-08-12 16:12:46+00:00,CVE-2015-8383,CWE-119,2015-12-02T01:59Z,HIGH,6.4
2627,3b64950247b5dae0aed5b3c756d89e275f1e192b,2016-08-12 16:12:46+00:00,CVE-2014-8964,CWE-119,2014-12-16T18:59Z,MEDIUM,2.9
2628,3b64950247b5dae0aed5b3c756d89e275f1e192b,2016-08-12 16:12:46+00:00,CVE-2015-8395,CWE-119,2015-12-02T01:59Z,HIGH,6.4
2629,3b64950247b5dae0aed5b3c756d89e275f1e192b,2016-08-12 16:12:46+00:00,CVE-2016-5420,CWE-285,2016-08-10T14:59Z,MEDIUM,2.9
2630,3b64950247b5dae0aed5b3c756d89e275f1e192b,2016-08-12 16:12:46+00:00,CVE-2015-8391,CWE-119,2015-12-02T01:59Z,HIGH,8.5
